lambda,fixed,Pb,Pd,Nc,N
15.3,0,0.6621218333,0.2725268,13.5115486434,30000000
15.4,0,0.6642223667,0.2708748333,13.5159054416,30000000
15.5,0,0.6663702,0.2691725,13.5200011232,30000000
15.6,0,0.6682595333,0.2676607333,13.5239174266,30000000
15.7,0,0.6703571667,0.2659683,13.528554626,30000000
15.8,0,0.6723102,0.2643973333,13.5324840122,30000000
15.9,0,0.6742562667,0.2628462333,13.5364705422,30000000
16,0,0.6761919,0.2612726667,13.5401667238,30000000
16.1,0,0.6780550333,0.2597635,13.5441924227,30000000
16.2,0,0.6799533333,0.2582494,13.5479610967,30000000
16.3,0,0.6819264667,0.2567142,13.5514093883,30000000
16.4,0,0.6838317667,0.2551974333,13.5551658256,30000000
16.5,0,0.6856065667,0.2537620667,13.5588303259,30000000
16.6,0,0.6876011,0.2521715333,13.5626876039,30000000
16.7,0,0.6891113,0.2509730333,13.5655745365,30000000
16.8,0,0.6910200333,0.249399,13.5693189913,30000000
16.9,0,0.6927420333,0.2479539667,13.5726111192,30000000
